uf,data,preco_medio,desvio_padrao
PIAUI,2009-08-02,2.527,0.07
PIAUI,2009-08-09,2.513,0.078
PIAUI,2009-08-30,2.463,0.051
PIAUI,2009-09-06,2.463,0.06
PIAUI,2009-09-13,2.463,0.061
PIAUI,2009-09-20,2.593,0.041
PIAUI,2009-09-27,2.57,0.058
PIAUI,2009-10-04,2.579,0.041
PIAUI,2009-10-11,2.587,0.043
PIAUI,2009-10-18,2.582,0.045
PIAUI,2009-10-25,2.58,0.039
PIAUI,2009-11-01,2.589,0.047
PIAUI,2009-11-08,2.582,0.046
PIAUI,2009-11-15,2.642,0.052000000000000005
PIAUI,2009-11-22,2.616,0.059
PIAUI,2009-11-29,2.585,0.081
PIAUI,2009-12-06,2.622,0.07200000000000001
PIAUI,2009-12-13,2.6210000000000004,0.038
PIAUI,2009-12-20,2.552,0.067
PIAUI,2009-12-27,2.542,0.065
PIAUI,2010-01-03,2.556,0.06
PIAUI,2010-01-10,2.574,0.062
PIAUI,2010-01-17,2.54,0.08
PIAUI,2010-01-24,2.5340000000000003,0.086
PIAUI,2010-01-31,2.537,0.093
PIAUI,2010-02-07,2.5580000000000003,0.099
PIAUI,2010-02-14,2.546,0.105
PIAUI,2010-02-21,2.509,0.119
PIAUI,2010-02-28,2.511,0.114
PIAUI,2010-03-07,2.514,0.109
PIAUI,2010-03-14,2.517,0.107
PIAUI,2010-03-21,2.504,0.118
PIAUI,2010-03-28,2.503,0.118
PIAUI,2010-04-04,2.496,0.12
PIAUI,2010-04-11,2.486,0.122
PIAUI,2010-04-18,2.488,0.122
PIAUI,2010-04-25,2.519,0.118
PIAUI,2010-05-02,2.57,0.078
PIAUI,2010-05-09,2.56,0.075
PIAUI,2010-05-16,2.553,0.085
PIAUI,2010-05-23,2.555,0.077
PIAUI,2010-05-30,2.5540000000000003,0.079
PIAUI,2010-06-06,2.506,0.113
PIAUI,2010-06-13,2.496,0.121
PIAUI,2010-06-20,2.496,0.12
PIAUI,2010-06-27,2.5,0.119
PIAUI,2010-07-04,2.477,0.132
PIAUI,2010-07-11,2.468,0.14
PIAUI,2010-07-18,2.478,0.13
PIAUI,2010-07-25,2.481,0.131
PIAUI,2010-08-01,2.476,0.134
PIAUI,2010-08-08,2.475,0.134
PIAUI,2010-08-15,2.467,0.14
PIAUI,2010-08-22,2.464,0.14300000000000002
PIAUI,2010-08-29,2.468,0.141
PIAUI,2010-09-05,2.476,0.134
PIAUI,2010-09-12,2.474,0.135
PIAUI,2010-09-19,2.474,0.136
PIAUI,2010-09-26,2.477,0.135
PIAUI,2010-10-03,2.478,0.135
PIAUI,2010-10-10,2.477,0.135
PIAUI,2010-10-17,2.525,0.109
PIAUI,2010-10-24,2.517,0.118
PIAUI,2010-10-31,2.528,0.109
PIAUI,2010-11-07,2.533,0.111
PIAUI,2010-11-14,2.521,0.119
PIAUI,2010-11-21,2.543,0.099
PIAUI,2010-11-28,2.546,0.095
PIAUI,2010-12-05,2.5660000000000003,0.085
PIAUI,2010-12-12,2.588,0.071
PIAUI,2010-12-19,2.6,0.067
PIAUI,2010-12-26,2.656,0.039
PIAUI,2011-01-02,2.644,0.044
PIAUI,2011-01-09,2.64,0.046
PIAUI,2011-01-16,2.715,0.049
PIAUI,2011-01-23,2.6860000000000004,0.05
PIAUI,2011-01-30,2.688,0.043
PIAUI,2011-02-06,2.682,0.041
PIAUI,2011-02-13,2.678,0.038
PIAUI,2011-02-20,2.667,0.04
PIAUI,2011-02-27,2.657,0.043
PIAUI,2011-03-06,2.661,0.042
PIAUI,2011-03-13,2.652,0.044
PIAUI,2011-03-20,2.648,0.045
PIAUI,2011-03-27,2.662,0.055
PIAUI,2011-04-03,2.782,0.09
PIAUI,2011-04-10,2.814,0.067
PIAUI,2011-04-17,2.759,0.069
PIAUI,2011-04-24,2.705,0.05
PIAUI,2011-05-01,2.758,0.08900000000000001
PIAUI,2011-05-08,2.76,0.095
PIAUI,2011-05-15,2.725,0.103
PIAUI,2011-05-22,2.6660000000000004,0.096
PIAUI,2011-05-29,2.634,0.118
PIAUI,2011-06-05,2.615,0.128
PIAUI,2011-06-12,2.585,0.134
PIAUI,2011-06-19,2.5780000000000003,0.14
PIAUI,2011-06-26,2.574,0.146
PIAUI,2011-07-03,2.564,0.145
PIAUI,2011-07-10,2.62,0.123
PIAUI,2011-07-17,2.622,0.104
PIAUI,2011-07-24,2.623,0.101
PIAUI,2011-07-31,2.634,0.095
PIAUI,2011-08-07,2.688,0.069
PIAUI,2011-08-14,2.692,0.064
PIAUI,2011-08-21,2.681,0.069
PIAUI,2011-08-28,2.667,0.078
PIAUI,2011-09-04,2.656,0.084
PIAUI,2011-09-11,2.6260000000000003,0.098
PIAUI,2011-09-18,2.609,0.109
PIAUI,2011-09-25,2.681,0.07400000000000001
PIAUI,2011-10-02,2.679,0.071
PIAUI,2011-10-09,2.675,0.071
PIAUI,2011-10-16,2.674,0.07200000000000001
PIAUI,2011-10-23,2.641,0.095
PIAUI,2011-10-30,2.676,0.07
PIAUI,2011-11-06,2.664,0.075
PIAUI,2011-11-13,2.652,0.08
PIAUI,2011-11-20,2.551,0.139
PIAUI,2011-11-27,2.602,0.113
PIAUI,2011-12-04,2.585,0.122
PIAUI,2011-12-11,2.57,0.129
PIAUI,2011-12-18,2.571,0.13
PIAUI,2011-12-25,2.59,0.116
PIAUI,2012-01-01,2.572,0.13
PIAUI,2012-01-08,2.57,0.131
PIAUI,2012-01-15,2.57,0.133
PIAUI,2012-01-22,2.568,0.135
PIAUI,2012-01-29,2.568,0.134
PIAUI,2012-02-05,2.567,0.136
PIAUI,2012-02-12,2.568,0.135
PIAUI,2012-02-19,2.575,0.128
PIAUI,2012-02-26,2.569,0.134
PIAUI,2012-03-04,2.56,0.14
PIAUI,2012-03-11,2.569,0.133
PIAUI,2012-03-18,2.57,0.132
PIAUI,2012-03-25,2.555,0.14
PIAUI,2012-04-01,2.559,0.136
PIAUI,2012-04-08,2.559,0.139
PIAUI,2012-04-15,2.562,0.134
PIAUI,2012-04-22,2.57,0.134
PIAUI,2012-04-29,2.574,0.129
PIAUI,2012-05-06,2.5780000000000003,0.126
PIAUI,2012-05-13,2.582,0.122
PIAUI,2012-05-20,2.591,0.13699999999999998
PIAUI,2012-05-27,2.575,0.11
PIAUI,2012-06-03,2.57,0.102
PIAUI,2012-06-10,2.571,0.103
PIAUI,2012-06-17,2.565,0.106
PIAUI,2012-06-24,2.564,0.106
PIAUI,2012-07-01,2.5580000000000003,0.111
PIAUI,2012-07-08,2.5660000000000003,0.104
PIAUI,2012-07-15,2.557,0.113
PIAUI,2012-07-22,2.562,0.112
PIAUI,2012-07-29,2.5660000000000003,0.113
PIAUI,2012-08-05,2.56,0.114
PIAUI,2012-08-12,2.562,0.116
PIAUI,2012-08-19,2.559,0.118
PIAUI,2012-08-26,2.557,0.116
PIAUI,2012-09-02,2.557,0.12
PIAUI,2012-09-09,2.557,0.117
PIAUI,2012-09-16,2.5540000000000003,0.121
PIAUI,2012-09-23,2.559,0.117
PIAUI,2012-09-30,2.56,0.121
PIAUI,2012-10-07,2.577,0.105
PIAUI,2012-10-14,2.608,0.097
PIAUI,2012-10-21,2.613,0.094
PIAUI,2012-10-28,2.63,0.086
PIAUI,2012-11-04,2.657,0.078
PIAUI,2012-11-11,2.642,0.081
PIAUI,2012-11-18,2.642,0.08
PIAUI,2012-11-25,2.631,0.084
PIAUI,2012-12-02,2.638,0.084
PIAUI,2012-12-09,2.6260000000000003,0.085
PIAUI,2012-12-16,2.622,0.084
PIAUI,2012-12-23,2.628,0.084
PIAUI,2012-12-30,2.625,0.08800000000000001
PIAUI,2013-01-06,2.631,0.08800000000000001
PIAUI,2013-01-13,2.625,0.084
PIAUI,2013-01-20,2.6260000000000003,0.083
PIAUI,2013-01-27,2.638,0.092
PIAUI,2013-02-03,2.747,0.066
PIAUI,2013-02-10,2.752,0.071
PIAUI,2013-02-17,2.74,0.073
PIAUI,2013-02-24,2.737,0.07400000000000001
PIAUI,2013-03-03,2.734,0.07400000000000001
PIAUI,2013-03-10,2.736,0.075
PIAUI,2013-03-17,2.735,0.077
PIAUI,2013-03-24,2.735,0.077
PIAUI,2013-03-31,2.735,0.076
PIAUI,2013-04-07,2.733,0.077
PIAUI,2013-04-14,2.734,0.076
PIAUI,2013-04-21,2.73,0.08
PIAUI,2013-04-28,2.727,0.081
PIAUI,2013-05-05,2.725,0.081
PIAUI,2013-05-12,2.727,0.08
PIAUI,2013-05-19,2.7260000000000004,0.083
PIAUI,2013-05-26,2.728,0.08199999999999999
PIAUI,2013-06-02,2.718,0.091
PIAUI,2013-06-09,2.718,0.092
PIAUI,2013-06-16,2.708,0.101
PIAUI,2013-06-23,2.701,0.104
PIAUI,2013-06-30,2.7030000000000003,0.102
PIAUI,2013-07-07,2.708,0.096
PIAUI,2013-07-14,2.707,0.097
PIAUI,2013-07-21,2.704,0.098
PIAUI,2013-07-28,2.705,0.098
PIAUI,2013-08-04,2.708,0.097
PIAUI,2013-08-11,2.71,0.094
PIAUI,2013-08-18,2.708,0.098
PIAUI,2013-08-25,2.712,0.098
PIAUI,2013-09-01,2.705,0.102
PIAUI,2013-09-08,2.713,0.098
PIAUI,2013-09-15,2.717,0.091
PIAUI,2013-09-22,2.714,0.095
PIAUI,2013-09-29,2.714,0.094
PIAUI,2013-10-06,2.714,0.092
PIAUI,2013-10-13,2.713,0.093
PIAUI,2013-10-20,2.714,0.092
PIAUI,2013-10-27,2.715,0.092
PIAUI,2013-11-03,2.713,0.094
PIAUI,2013-11-10,2.713,0.093
PIAUI,2013-11-17,2.715,0.093
PIAUI,2013-11-24,2.697,0.106
PIAUI,2013-12-01,2.7880000000000003,0.091
PIAUI,2013-12-08,2.782,0.08900000000000001
PIAUI,2013-12-15,2.783,0.095
PIAUI,2013-12-22,2.783,0.095
PIAUI,2013-12-29,2.785,0.099
PIAUI,2014-01-05,2.789,0.101
PIAUI,2014-01-12,2.785,0.098
PIAUI,2014-01-19,2.783,0.102
PIAUI,2014-01-26,2.783,0.104
PIAUI,2014-02-02,2.781,0.105
PIAUI,2014-02-09,2.784,0.105
PIAUI,2014-02-16,2.784,0.102
PIAUI,2014-02-23,2.787,0.102
PIAUI,2014-03-02,2.786,0.104
PIAUI,2014-03-09,2.794,0.105
PIAUI,2014-03-16,2.789,0.107
PIAUI,2014-03-23,2.7960000000000003,0.106
PIAUI,2014-03-30,2.798,0.104
PIAUI,2014-04-06,2.8,0.103
PIAUI,2014-04-13,2.8080000000000003,0.095
PIAUI,2014-04-20,2.814,0.093
PIAUI,2014-04-27,2.82,0.08800000000000001
PIAUI,2014-05-04,2.8160000000000003,0.09
PIAUI,2014-05-11,2.824,0.086
PIAUI,2014-05-18,2.822,0.086
PIAUI,2014-05-25,2.821,0.08800000000000001
PIAUI,2014-06-01,2.818,0.092
PIAUI,2014-06-08,2.82,0.091
PIAUI,2014-06-15,2.812,0.096
PIAUI,2014-06-22,2.82,0.091
PIAUI,2014-06-29,2.8280000000000003,0.092
PIAUI,2014-07-06,2.821,0.094
PIAUI,2014-07-13,2.818,0.098
PIAUI,2014-07-20,2.818,0.096
PIAUI,2014-07-27,2.827,0.096
PIAUI,2014-08-03,2.817,0.1
PIAUI,2014-08-10,2.825,0.095
PIAUI,2014-08-17,2.821,0.098
PIAUI,2014-08-24,2.819,0.103
PIAUI,2014-08-31,2.822,0.099
PIAUI,2014-09-07,2.8160000000000003,0.108
PIAUI,2014-09-14,2.822,0.104
PIAUI,2014-09-21,2.822,0.103
PIAUI,2014-09-28,2.826,0.101
PIAUI,2014-10-05,2.827,0.1
PIAUI,2014-10-12,2.8280000000000003,0.1
PIAUI,2014-10-19,2.822,0.104
PIAUI,2014-10-26,2.827,0.099
PIAUI,2014-11-02,2.826,0.102
PIAUI,2014-11-09,2.935,0.075
PIAUI,2014-11-16,2.958,0.085
PIAUI,2014-11-23,2.925,0.104
PIAUI,2014-11-30,2.923,0.102
PIAUI,2014-12-07,2.932,0.095
PIAUI,2014-12-14,2.898,0.105
PIAUI,2014-12-21,2.9130000000000003,0.103
PIAUI,2014-12-28,2.906,0.105
PIAUI,2015-01-04,2.908,0.103
PIAUI,2015-01-11,2.905,0.105
PIAUI,2015-01-18,2.906,0.105
PIAUI,2015-01-25,2.912,0.105
PIAUI,2015-02-01,3.204,0.102
PIAUI,2015-02-08,3.214,0.085
PIAUI,2015-02-15,3.2310000000000003,0.087
PIAUI,2015-02-22,3.247,0.093
PIAUI,2015-03-01,3.247,0.09
PIAUI,2015-03-08,3.253,0.08800000000000001
PIAUI,2015-03-15,3.255,0.087
PIAUI,2015-03-22,3.244,0.094
PIAUI,2015-03-29,3.247,0.096
PIAUI,2015-04-05,3.241,0.098
PIAUI,2015-04-12,3.238,0.094
PIAUI,2015-04-19,3.239,0.102
PIAUI,2015-04-26,3.236,0.097
PIAUI,2015-05-03,3.235,0.096
PIAUI,2015-05-10,3.239,0.093
PIAUI,2015-05-17,3.242,0.101
PIAUI,2015-05-24,3.238,0.1
PIAUI,2015-05-31,3.2460000000000004,0.096
PIAUI,2015-06-07,3.239,0.101
PIAUI,2015-06-14,3.219,0.108
PIAUI,2015-06-21,3.232,0.1
PIAUI,2015-06-28,3.22,0.105
PIAUI,2015-07-05,3.2230000000000003,0.103
PIAUI,2015-07-12,3.216,0.112
PIAUI,2015-07-19,3.204,0.12
PIAUI,2015-07-26,3.208,0.123
PIAUI,2015-08-02,3.213,0.119
PIAUI,2015-08-09,3.195,0.125
PIAUI,2015-08-23,3.182,0.133
PIAUI,2015-08-30,3.147,0.123
PIAUI,2015-09-06,3.162,0.139
PIAUI,2015-09-13,3.1860000000000004,0.128
PIAUI,2015-09-20,3.179,0.13
PIAUI,2015-09-27,3.197,0.118
PIAUI,2015-10-04,3.409,0.112
PIAUI,2015-10-11,3.384,0.131
PIAUI,2015-10-18,3.4,0.11
PIAUI,2015-10-25,3.407,0.105
PIAUI,2015-11-01,3.369,0.132
PIAUI,2015-11-08,3.44,0.126
PIAUI,2015-11-15,3.535,0.102
PIAUI,2015-11-22,3.5780000000000003,0.084
PIAUI,2015-11-29,3.5780000000000003,0.091
PIAUI,2015-12-06,3.565,0.114
PIAUI,2015-12-13,3.552,0.115
PIAUI,2015-12-20,3.59,0.115
PIAUI,2015-12-27,3.599,0.111
PIAUI,2016-01-03,3.609,0.16
PIAUI,2016-01-10,3.687,0.136
PIAUI,2016-01-17,3.719,0.115
PIAUI,2016-01-24,3.742,0.113
PIAUI,2016-01-31,3.749,0.11
PIAUI,2016-02-07,3.753,0.105
PIAUI,2016-02-14,3.754,0.103
PIAUI,2016-02-21,3.75,0.096
PIAUI,2016-02-28,3.739,0.102
PIAUI,2016-03-06,3.73,0.118
PIAUI,2016-03-13,3.721,0.131
PIAUI,2016-03-20,3.735,0.123
PIAUI,2016-03-27,3.75,0.116
PIAUI,2016-04-03,3.752,0.12
PIAUI,2016-04-10,3.746,0.114
PIAUI,2016-04-17,3.75,0.105
PIAUI,2016-04-24,3.729,0.117
PIAUI,2016-05-01,3.753,0.105
